product_id,bv_product_id,product_url,brand,product_name,category,price,rating
459503,459503,https://www.sephora.com/product/gucci-gucci-poudre-de-beaute-eclat-soleil-bronzing-powder-P459503,Gucci,Poudre De Beauté Éclat Soleil Bronzing Powder - Gucci,Bronzer,$65.0,4.62219451371571
520021,520021,https://www.sephora.com/product/gucci-glow-dewy-powder-blush-P520021,Gucci,Glow Dewy Powder Blush - Gucci,Blush,$49.0,4.668740279937792
502188,502188,https://www.sephora.com/product/luminous-matte-beauty-blush-P502188,Gucci,Luminous Matte Powder Blush - Gucci,Blush,$49.0,4.695760598503741
453273,453273,https://www.sephora.com/product/gucci-gucci-rouge-a-levres-mat-matte-lipstick-P453273,Gucci,Rouge &#224; L&#232;vres Mat Matte Lipstick - Gucci,Lipstick,$49.0,4.361430395913154
512763,512763,https://www.sephora.com/product/gucci-gucci-glow-highlighter-P512763,Gucci,Glow Multi-Use Illuminating Gel-Powder Highlighter - Gucci,Highlighter,$59.0,4.58133971291866
429915,429915,https://www.sephora.com/product/rouge-g-customizable-lipstick-bullet-P429915,GUERLAIN,Rouge G Refillable Lipstick - GUERLAIN,Lipstick,$43.0,4.390625
483450,483450,https://www.sephora.com/product/guerlain-kisskiss-bee-glow-lipstick-balm-P483450,GUERLAIN,KissKiss Bee Glow Lipstick Balm - GUERLAIN,Lip Balms & Treatments,$43.0,4.209302325581396
266308,266308,https://www.sephora.com/product/meteorites-illuminating-powder-pearls-P266308,GUERLAIN,M&#233;t&#233;orites Illuminating Powder Pearls - GUERLAIN,Highlighter,$75.0,4.142694063926941
430124,430124,https://www.sephora.com/product/terracotta-light-healthy-glow-vitamin-radiance-powder-P430124,GUERLAIN,Terracotta Light Healthy Glow Bronzer - GUERLAIN,Bronzer,$62.0,4.480769230769231
510448,510448,https://www.sephora.com/product/guerlain-kiss-kiss-bee-glow-lip-oil-P510448,GUERLAIN,Kiss Kiss Bee Glow Hydrating Tinted Lip Oil - GUERLAIN,Lip Balms & Treatments,$43.0,4.386904761904762
474953,474953,https://www.sephora.com/product/guerlain-abeille-royale-youth-watery-anti-aging-oil-P474953,,,,,
284710,284710,https://www.sephora.com/product/terracotta-bronzing-powder-P284710,,,,,
416938,416938,https://www.sephora.com/product/mon-guerlain-P416938,GUERLAIN,Mon Guerlain Eau de Parfum - GUERLAIN,Perfume,$180.0,4.402826855123675
272652,272652,https://www.sephora.com/product/shalimar-eau-de-parfum-P272652,,,,,
504902,504902,https://www.sephora.com/product/hanni-splash-salve-in-shower-body-moisture-treatment-P504902,Hanni,Splash Salve In-Shower Body Moisture Treatment - Hanni,Body Lotions & Body Oils,$37.0,4.408450704225352
503899,503899,https://www.sephora.com/product/hanni-water-balm-custom-hydration-body-moisturizing-mist-P503899,Hanni,Water Balm Instant Hydration Body Moisturizer Mist - Hanni,Body Lotions & Body Oils,$37.0,4.540268456375839
512530,512530,https://www.sephora.com/product/hanni-the-fatty-fatty-acid-moisture-stick-for-moisture-barrier-P512530,Hanni,"The Fatty, Fatty Acid Moisture Stick for moisture barrier - Hanni",Body Lotions & Body Oils,$30.0,4.736301369863014
507891,507891,https://www.sephora.com/product/cocoon-cleanse-solid-body-serum-cleanser-with-shea-butter-P507891,Hanni,Cocoon Cleanse Solid Body Serum Cleanser with Shea Butter - Hanni,Body Wash & Shower Gel,$19.0,4.579439252336448
509432,509432,https://www.sephora.com/product/hanni-good-aura-body-oil-P509432,Hanni,Good Aura Weightless Body Oil - Hanni,Body Lotions & Body Oils,$37.0,4.700854700854701
516769,516769,https://www.sephora.com/product/red-rice-hydrating-cream-with-ceramide-P516769,Hanyul,Red Rice Hydrating Cream with Ceramide - Hanyul,Face Creams,$40.0,4.8108108108108105
519769,519769,https://www.sephora.com/product/hanyul-artemisia-soothing-2-in-1-mask-to-foam-cleanser-with-niacinamide-bha-P519769,Hanyul,Artemisia Soothing 2-in-1 Mask to Foam Cleanser with Hyaluronic Acid  + BHA - Hanyul,Face Wash & Cleansers,$22.0,4.841897233201581
516436,516436,https://www.sephora.com/product/yuja-brightening-sleeping-mask-with-vitamin-c-niacinamide-P516436,Hanyul,Yuja Brightening Sleeping Mask with Vitamin C and Niacinamide - Hanyul,Face Masks,$30.0,4.7180451127819545
516750,516750,https://www.sephora.com/product/artemisia-soothing-gel-cream-moisturizer-with-centella-asiatica-niacinamide-P516750,Hanyul,Artemisia Soothing Gel Cream Moisturizer with Centella Asiatica and Niacinamide - Hanyul,Face Creams,$36.0,4.839041095890411
517650,517650,https://www.sephora.com/product/mini-yuja-brightening-sleeping-mask-with-vitamin-c-niacinamide-P517650,Hanyul,Mini Yuja Brightening Sleeping Mask with Vitamin C and Niacinamide - Hanyul,Face Masks,$15.0,4.551724137931035
502185,502185,https://www.sephora.com/product/triclone-skin-tech-medium-coverage-foundation-with-fermented-arnica-P502185,HAUS LABS BY LADY GAGA,Triclone Skin Tech Medium Coverage Foundation with Fermented Arnica - HAUS LABS BY LADY GAGA,Foundation,$0.01,3.9749478079331944
507110,507110,https://www.sephora.com/product/triclone-skin-tech-hydrating-concealer-with-fermented-arnica-P507110,HAUS LABS BY LADY GAGA,Triclone Skin Tech Hydrating + De-puffing Concealer with Fermented Arnica - HAUS LABS BY LADY GAGA,Concealer,$32.0,3.886838868388684
510741,510741,https://www.sephora.com/product/haus-labs-by-lady-gaga-color-fuse-longwear-hydrating-glassy-lip-cheek-blush-balm-stick-P510741,HAUS LABS BY LADY GAGA,Color Fuse Longwear Hydrating Glassy Lip + Cheek Blush Balm Stick - HAUS LABS BY LADY GAGA,Blush,$34.0,4.368975903614458
504025,504025,https://www.sephora.com/product/haus-labs-by-lady-gaga-color-fuse-blush-P504025,HAUS LABS BY LADY GAGA,Color Fuse Talc-Free Blush Powder With Fermented Arnica - HAUS LABS BY LADY GAGA,Blush,$32.0,4.608735213830755
500284,500284,https://www.sephora.com/product/le-monster-lip-crayon-lipstick-P500284,HAUS LABS BY LADY GAGA,Le Monster Lip Crayon Vegan Lipstick and Lip Liner - HAUS LABS BY LADY GAGA,Lipstick,$24.0,4.334370139968896
500283,500283,https://www.sephora.com/product/phd-hybrid-lip-oil-P500283,HAUS LABS BY LADY GAGA,PhD Hybrid Hydrating Tinted Lip Oil - HAUS LABS BY LADY GAGA,Lip Oil,$26.0,3.8634076204169663
509390,509390,https://www.sephora.com/product/haus-labs-by-lady-gaga-phd-hybrid-lip-glaze-plumping-gloss-P509390,HAUS LABS BY LADY GAGA,PhD Hybrid Lip Glaze Plumping Gloss - HAUS LABS BY LADY GAGA,Lip Gloss,$26.0,4.394886363636363
515434,515434,https://www.sephora.com/product/haus-labs-by-lady-gaga-bio-radiant-glassy-highlighter-balm-P515434,HAUS LABS BY LADY GAGA,Bio-Radiant Glassy Balm Highlighter Stick - HAUS LABS BY LADY GAGA,Highlighter,$30.0,4.1878453038674035
511648,511648,https://www.sephora.com/product/hello-sunday-the-one-for-your-lips-spf-50-hydrating-lip-balm-with-hyaluronic-acid-squalane-P511648,Hello Sunday,The One For Your Lips SPF 50 Hydrating Lip Balm with Hyaluronic Acid & Squalane - Hello Sunday,Lip Balms & Treatments,$12.0,3.551470588235294
518080,518080,https://www.sephora.com/product/the-mineral-lip-one-vanilla-cloud-P518080,Hello Sunday,The Mineral Lip One SPF 45 Nourishing Lip Tint - Hello Sunday,Lip Balms & Treatments,$15.0,4.376404494382022
515534,515534,https://www.sephora.com/product/the-bestseller-daily-spf-duo-with-broad-spectrum-spf-50-P515534,Hello Sunday,The Bestseller Daily SPF Duo with Broad Spectrum SPF 50 - Hello Sunday,Value & Gift Sets,$27.0,2.5
510563,510563,https://www.sephora.com/product/hello-sunday-the-mineral-one-spf-50-hydrating-luminating-face-serum-with-hyaluronic-acid-P510563,Hello Sunday,The Mineral One SPF 50 Hydrating and Luminating Face Serum with Hyaluronic Acid - Hello Sunday,Face Serums,$28.0,3.658536585365854
510384,510384,https://www.sephora.com/product/hello-sunday-the-shimmer-one-spf-45-face-body-mineral-glow-stick-with-hyaluronic-acid-P510384,Hello Sunday,The Shimmer One SPF 45 Face and Body Mineral Sunscreen Glow Stick with Hyaluronic Acid - Hello Sunda,Face Sunscreen,$22.0,4.461538461538462
520368,520368,https://www.sephora.com/product/london-1983-eau-de-parfum-travel-spray-P520368,Henry Rose,London 1983 Eau de Parfum with Musk Travel Spray - Henry Rose,Rollerballs & Travel Size,$35.0,4.841121495327103
515384,515384,https://www.sephora.com/product/fragrance-discovery-set-P515384,Henry Rose,Fragrance Discovery Set ft. Dave with Vanilla + Tonka Bean - Henry Rose,Perfume Gift Sets,$28.0,4.0
520362,520362,https://www.sephora.com/product/london-1983-eau-de-parfum-P520362,Henry Rose,London 1983 Eau de Parfum with Musk - Henry Rose,Perfume,$120.0,4.841121495327103
515350,515350,https://www.sephora.com/product/henry-rose-dave-eau-de-parfum-with-vanilla-tonka-bean-P515350,Henry Rose,Dave Eau De Parfum with Vanilla - Henry Rose,Unisex / Genderless,$120.0,4.61631419939577
515377,515377,https://www.sephora.com/product/dave-eau-de-parfum-with-vanilla-tonka-bean-travel-spray-P515377,Henry Rose,Dave Eau De Parfum with Vanilla Travel Spray - Henry Rose,Rollerballs & Travel Size,$35.0,4.61631419939577
